  0.00000E+00  2.16627E-05  2.04251E+01 -3.11776E-04
  3.15000E-01  2.32863E+00  4.76721E+01  6.46089E+00
  3.16000E-01  2.39850E+00  4.85172E+01  6.48822E+00
  3.17000E-01  2.47882E+00  4.94692E+01  6.52477E+00
  3.18000E-01  2.55873E+00  5.04391E+01  6.57374E+00
  3.19000E-01  2.63748E+00  5.13179E+01  6.60934E+00
  3.20000E-01  2.72717E+00  5.23702E+01  6.64500E+00
  3.21000E-01  2.82501E+00  5.36685E+01  6.69141E+00
  3.22000E-01  2.90626E+00  5.45442E+01  6.72746E+00
  3.23000E-01  3.01470E+00  5.56783E+01  6.76995E+00
  3.24000E-01  3.11510E+00  5.69573E+01  6.81080E+00
  3.25000E-01  3.23908E+00  5.86249E+01  6.85925E+00
  3.26000E-01  3.31849E+00  5.93154E+01  6.88117E+00
  3.27000E-01  3.45305E+00  6.06329E+01  6.92117E+00
  3.28000E-01  3.61715E+00  6.27927E+01  7.01182E+00
  3.29000E-01  3.68477E+00  6.37305E+01  7.01809E+00
  3.30000E-01  3.65462E+00  6.01968E+01  6.81893E+00
  3.31000E-01  2.84270E+00  3.66704E+01  5.35412E+00
  3.32000E-01  1.55760E+00  7.41105E+00  1.91518E+00
  3.33000E-01  1.07563E+00  1.86076E-01  1.22588E-01
  3.34000E-01  1.00234E+00  1.45756E-04  2.69138E-04
  3.35000E-01  1.00000E+00  1.00000E-04  4.33446E-08
  3.36000E-01  1.00000E+00  1.00000E-04  3.88939E-13
  3.37000E-01  1.00000E+00  1.00000E-04 -1.01685E-10
  3.38000E-01  1.00000E+00  1.00000E-04  0.00000E+00
  3.39000E-01  1.00000E+00  1.00000E-04 -4.06145E-10
  3.40000E-01  1.00000E+00  1.00000E-04 -1.01659E-10
  3.41000E-01  1.00000E+00  1.00000E-04  4.06114E-10
  3.42000E-01  1.00000E+00  1.00000E-04 -1.01641E-10
  3.43000E-01  1.00000E+00  1.00000E-04  1.01596E-10
